,id,Name,price,Calories,Total Fat,Saturated Fat,Trans Fat,Polyunsaturated Fat,Monounsaturated Fat,Cholesterol,Sodium,Potassium,Total Carbohydrate,Dietary Fiber,Total Sugars,Added Sugars,Protein,Calcium,Iron
0,196010254,Kings Hawaiian Original Sweet Rolls - 12 Oz.,5.49,90,2,1,0,,,15,75,44,15,1,5,5,3,15,1
1,960138380,Daves Killer Bread Organic White Bread Done Right - 24 Oz,5.49,110,2,0,0,0,0,0,190,40,21,2,2,0,3,0,0
2,194010039,Fresh Baked Signature SELECT Artisan French Bread - Each,1.99,150,1,0,0,,,0,350,90,31,1,1,1,5,10,2
3,960287585,Daves Killer Bread White Done Right Thin - 20.5 Oz,6.99,70,15,0,0,0,05,0,125,0,14,1,2,2,2,0,04
4,194010040,Fresh Baked Signature SELECT A... Style Bread - 16 Oz,1.99,130,0,0,0,,,0,80,40,25,0,0,0,4,10,2
5,960546814,Daves Killer Bread Burger Buns... urger Buns - 8 Count,7.99,70,1,0,0,0,0,0,85,0,14,2,1,0,3,0,0
6,294010042,Fresh Baked Signature SELECT B... o Style Round - Each,1.99,130,0,0,0,,,0,80,40,25,0,0,0,4,10,2
7,960567982,Oroweat Country Butter Bread - 24 Oz,5.99,120,15,1,0,0,0,5,230,50,21,1,3,2,4,50,11
8,970009394,Oroweat Whole Grains 100% Whole Wheat Bread - 18 Oz,3.99,70,1,0,0,05,,0,115,60,14,2,2,2,3,30,06
9,960002360,Natures Own 100% Whole Wheat Bread - 20 Oz,4.99,60,05,0,0,0,0,0,110,0,11,2,1,1,4,50,08
10,970009264,Oroweat Whole Grains Oatnut Bread - 18 Oz,3.99,80,15,0,0,05,05,0,115,50,14,1,2,2,3,30,07
11,970065669,King's Hawaiian Original Hawai... iced Bread - 13.5 Oz,4.99,100,25,15,0,,,15,95,51,16,1,6,5,3,14,1
12,196011107,San Luis Sourdough Deli Bread - 24 Oz,6.99,110,0,0,0,0,0,0,230,0,23,1,0,0,4,0,0
13,960331946,Cheese Cake Factory Wheat Rolls,4.99,110,1,0,0,,,0,150,70,22,2,4,4,3,50,1
14,960055723,Kings Hawaiian Original Sweet Rolls - 24 Oz.,7.99,90,2,1,0,,,15,80,0,49,0,5,,3,0,0
15,960331945,Cheese Cake Factory Twin Wheat Baguette Twin - 10 Oz,4.99,190,2,05,0,,,0,270,120,38,3,8,7,6,90,2
16,960263811,O Organics Organic Bread Loaves Twin French - Each,4.99,150,05,0,0,,,0,350,40,30,1,0,0,5,20,04
17,970300789,Dave's Killer Bread Epic Every... akfast Bread - 18 Oz,5.99,90,25,0,0,1,1,0,180,70,16,2,2,2,4,50,14
18,970117899,Signature SELECT Sliced Brioche Bread - 17.64 Oz,7.99,220,7,35,0,,,20,310,70,34,1,9,9,5,10,05
19,294010035,Fresh Baked Signature SELECT A... tyle Baguette - 8 Oz,2.69,130,0,0,0,,,0,270,40,26,0,0,0,4,10,2
20,970064879,Natures Own Perfectly Crafted... MO Rye Bread - 22 Oz,4.0,100,15,0,0,0,0,0,260,0,21,1,1,0,4,0,0
21,970064369,Daves Killer Bread Righteous R... Rye Bread 27 Oz Loaf,7.99,110,2,0,0,1,05,0,220,90,22,3,4,4,5,50,16
25,960263812,O Organics Organic Bread Batard Country Italian - Each,4.99,140,05,0,0,,,0,360,50,29,1,0,0,5,20,05
26,970066185,Aunt Millies Live Carb Smart White Bread - 14 OZ,5.99,45,05,0,0,0,0,0,115,50,12,6,0,0,5,90,03
28,970095652,Nature's Harvest Healthy Habit... Whole Grain - 15 Oz,4.79,45,05,0,0,,,0,100,25,9,3,1,1,2,25,4
30,970063946,Artisan Italian Bread - EA,1.99,130,0,0,0,,,0,270,40,26,0,0,0,4,10,2
31,960263813,O Organics Organic Bread Batard Roasted Garlic - Each,4.99,140,05,0,0,,,0,330,50,29,1,0,0,5,20,04
32,960106553,Signature SELECT Bread Artisan Dutch Crunch - Each,1.99,150,15,05,0,,,0,340,40,29,0,1,1,4,10,1
34,960294901,Semifreddis Kalamata Olive Bread - 14 Oz,4.19,150,3,0,0,,,0,330,40,26,1,0,,4,10,0
35,196011256,Semifreddis Bread Loaves - Each,4.19,140,05,0,0,,,0,310,40,28,1,0,,5,10,0
36,960217776,La Brea Bakery Bread Loaf French - 16 Oz,4.39,150,05,0,0,,,0,360,52,31,1,0,0,5,9,2
37,960525130,Bread Loaf Multigrain Harvest,4.99,160,3,0,0,,,5,380,0,29,1,3,2,6,0,0
38,960559118,Sola Sweet & Buttery Bread - 14 Oz,5.99,70,4,1,0,1,25,0,130,40,7,4,0,0,5,30,04
39,960054146,Open Nature Bread French Wheat - Each,2.29,150,15,0,0,,,0,260,120,27,3,1,,7,20,2
40,970066179,Aunt Millies Live Carb Smart 5 Seed Bread - 14 OZ,5.99,50,15,0,0,1,05,0,110,60,11,6,0,0,5,90,04
41,960521831,Signature Select French Bread Bag - Each,1.99,140,05,0,0,,,0,280,60,29,1,0,0,6,10,2
42,960098610,Signature SELECT Bread Garlic - 10 Oz,2.99,210,9,15,0,,,0,200,60,27,1,1,1,5,50,19
43,970066229,Aunt Millies Live Carb Smart Wheat Bread - 14 OZ,5.99,45,05,0,0,,,0,110,50,12,7,0,0,5,80,05
45,960513042,Loaf Ciabatta Toscana,4.99,140,1,0,0,,,0,300,0,27,0,1,1,5,0,0
46,960123349,Signature SELECT San Francisco... ough Baguette - 8 Oz,2.69,130,0,0,0,,,0,80,40,25,0,0,0,4,10,2
47,970098716,S Sel Pull Apart Baguette Garlic - 9,2.69,130,1,1,0,,,0,300,50,25,1,0,0,5,10,2
48,970303740,Alvarado Street Bread Sprouted Flax Chia Thin Sliced - 19 OZ,6.49,70,1,0,0,,,0,85,0,12,2,2,1,4,0,07
49,960525132,Bread Loaf Pumpernickel,4.99,130,05,0,0,,,5,310,0,27,0,1,0,5,0,0
50,960539035,Bread Loaf Italian Semolina,4.99,130,1,0,0,,,5,320,0,26,0,2,1,4,0,0
51,960525131,Bread Loaf Potato Buttermilk,4.99,160,05,0,0,,,5,310,0,33,0,3,1,6,0,0
52,970098665,S Sel Pull Apart Baguette Rosemary - 9.00 OZ,2.69,130,2,0,0,,,0,290,50,24,1,0,0,4,10,2
55,960525133,Bread Loaf Kalamata & Green Olive,4.99,130,25,0,0,,,5,390,0,23,0,1,0,4,0,0
57,960525134,Bread Loaf Roast Garlic & Cheese,4.99,140,2,1,0,,,10,310,0,24,0,1,0,6,0,0
58,960437810,S.Rosens Seeded Cocktail Rye - 12 Oz,3.99,130,25,05,0,15,0,0,450,68,24,15,0,0,4,108,1
59,960048456,Fresh Baked Rustic Authentic Baguette - Each,2.69,120,0,0,0,,,0,290,40,24,1,1,0,4,10,2
60,960317744,Signature Select Garlic Knots Hand Tied Bake In Bag - 7.8 Oz,4.99,120,4,1,0,,,0,210,40,18,1,2,1,3,10,11
61,960547118,Schar Bagel Plain - 14.1 Oz,7.99,290,35,0,0,,,0,710,130,60,7,11,11,4,10,08
62,960547119,Schar Bagel Cinnamon - 14.1 Oz,7.99,300,4,0,0,,,0,670,0,61,7,14,14,4,0,0
63,960019409,Watsonville Baguette Sourdough - 16 Oz,5.49,150,0,0,0,0,0,0,350,,32,1,0,,6,0,0
64,960525129,Bread Loaf Black Pepper & Swiss,4.99,150,3,15,0,,,10,290,0,23,0,1,0,7,0,0
65,960292195,Alfaro's Artesano Bakery Rolls - 18 Oz,5.49,120,15,0,0,05,0,0,220,35,23,1,2,,,50,13
66,970063738,Signature Select Breadsticks 4 Cheese & Garlic - 12 OZ,3.99,120,35,2,0,,,10,280,35,17,1,0,0,5,70,09
67,960071662,King's Hawaiian Original Hawai... ni Sub Rolls - 12 Oz,4.99,180,4,25,0,,,30,150,83,29,1,10,9,5,35,2
68,960526321,Signature Select Breadsticks Parmesan - 8 Oz,4.29,60,2,1,0,,,5,125,0,9,1,0,0,2,0,0
69,960445591,Natures Own Perfectly Crafted... lls 12 Count - 12 Oz,3.49,70,05,0,0,0,0,0,130,0,0,0,2,0,3,0,0
70,960061133,Signature SELECT Rolls Brown N... uttermilk - 12 Count,3.49,60,05,0,0,,,0,110,19,12,0,1,,2,22,1
73,970098540,Signature Select Restaurant Cl... Bread Rolls - 18 OZ,2.99,110,15,0,0,,,0,210,60,20,1,4,4,4,30,1
75,960130883,Brooklyn Bred Pizza Crust Thin... Lite 2 Count - 15 Oz,5.99,140,25,0,0,,,0,310,20,26,1,1,0,4,100,1
